Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
McDonald’s,Hamburger,250.00,80.00,9.00,3.50,0.50,25.00,520.00,31.00,2.00,6.00,12.00,247.50
McDonald’s,Cheeseburger,300.00,110.00,12.00,6.00,0.50,40.00,750.00,33.00,2.00,6.00,15.00,297.00
McDonald’s,Double Cheeseburger,440.00,210.00,23.00,11.00,1.50,80.00,1150.00,34.00,2.00,7.00,25.00,433.00
McDonald’s,McDouble,390.00,170.00,19.00,8.00,1.00,65.00,920.00,33.00,2.00,7.00,22.00,383.00
McDonald’s, Quarter Pounder® with Cheese,510.00,230.00,26.00,12.00,1.50,90.00,1190.00,40.00,3.00,9.00,29.00,502.00
McDonald’s,Double Quarter Pounder® with Cheese,740.00,380.00,42.00,19.00,2.50,155.00,1380.00,40.00,3.00,9.00,48.00,720.00
McDonald’s,Big Mac®,540.00,260.00,29.00,10.00,1.50,75.00,1040.00,45.00,3.00,9.00,25.00,534.00
McDonald’s,Big N’ Tasty®,460.00,220.00,24.00,8.00,1.50,70.00,720.00,37.00,3.00,8.00,24.00,452.00
McDonald’s,Big N’ Tasty® with Cheese,510.00,250.00,28.00,11.00,1.50,85.00,960.00,38.00,3.00,8.00,27.00,502.00
McDonald’s,Angus Bacon & Cheese,790.00,350.00,39.00,17.00,2.00,145.00,2070.00,63.00,4.00,13.00,45.00,775.00
McDonald’s,Angus Deluxe,750.00,350.00,39.00,16.00,2.00,135.00,1700.00,61.00,4.00,10.00,40.00,736.00
McDonald’s,Angus Mushroom & Swiss,770.00,360.00,40.00,17.00,2.00,135.00,1170.00,59.00,4.00,8.00,44.00,751.00
McDonald’s,Filet-O-Fish®,380.00,170.00,18.00,3.50,0.00,40.00,640.00,38.00,2.00,5.00,15.00,373.50
McDonald’s,McChicken ®,360.00,150.00,16.00,3.00,0.00,35.00,830.00,40.00,2.00,5.00,14.00,354.00
McDonald’s,McRib ®,500.00,240.00,26.00,10.00,0.00,70.00,980.00,44.00,3.00,11.00,22.00,499.00
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.00,80.00,9.00,2.00,0.00,65.00,820.00,41.00,4.00,8.00,27.00,343.00
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.00,200.00,22.00,3.50,0.00,45.00,990.00,56.00,3.00,10.00,24.00,499.50
McDonald’s,Premium Grilled Chicken Club Sandwich,460.00,150.00,17.00,6.00,0.00,90.00,1040.00,43.00,4.00,9.00,35.00,440.00
McDonald’s,Premium Crispy Chicken Club Sandwich,620.00,260.00,29.00,7.00,0.00,70.00,1200.00,57.00,3.00,11.00,31.00,607.00
